outer_fold,model,R2,MAE,MedAE,MSE,RMSE
1,LinearRegression,0.8635439175168335,2057.130202406663,1333.7003037208406,13591185.559073783,3686.622513775147
1,DecisionTree,0.9463233615812499,1314.990617292967,809.0188117104863,5346256.023629712,2312.197228531708
2,LinearRegression,0.8696161954829521,2053.5609892102157,1333.7006493097797,12276811.559635011,3503.8281292944453
2,DecisionTree,0.9472047446085574,1271.539830682619,785.0829689992279,4971149.630771805,2229.607505991089
3,LinearRegression,-16.508363265846224,2328.812989792116,1322.7825723149017,1713720962.1119504,41397.112968321235
3,DecisionTree,0.9397139199099306,1296.6023805931745,803.5019305117894,5900809.664798699,2429.1582214418845
4,LinearRegression,0.8756694865918581,2048.6685137365707,1332.1631289645284,12222530.275292536,3496.073551184605
4,DecisionTree,0.9544416145210395,1279.8689906422485,800.8782668792865,4478697.389289297,2116.2933136239167
5,LinearRegression,0.8652544283627377,2065.8775062603872,1342.5345635551312,13040881.95196404,3611.2161319926613
5,DecisionTree,0.9409515302272278,1320.2950455124728,813.0109282934172,5714800.971892523,2390.5649901001484
