iter	Passed	Remaining
356	12503	22520
357	12528	22468
358	12554	22415
359	12573	22352
360	12596	22296
361	12621	22244
362	12639	22179
363	12657	22115
364	12682	22063
365	12700	22000
366	12719	21939
367	12742	21883
368	12764	21828
369	12783	21766
370	12813	21724
371	12830	21660
372	12855	21609
373	12889	21574
374	12936	21560
375	12989	21557
376	13015	21507
377	13059	21489
378	13091	21450
379	13109	21389
380	13134	21338
381	13149	21273
382	13171	21219
383	13186	21154
384	13206	21095
385	13226	21038
386	13247	20983
387	13264	20922
388	13284	20865
389	13312	20821
390	13330	20763
391	13344	20697
392	13363	20640
393	13378	20577
394	13396	20518
395	13416	20463
396	13437	20409
397	13456	20353
398	13486	20314
399	13512	20269
400	13541	20227
401	13563	20176
402	13585	20125
403	13605	20072
404	13627	20020
405	13646	19966
406	13667	19913
407	13690	19864
408	13707	19807
409	13728	19755
410	13750	19705
411	13766	19647
412	13783	19591
413	13801	19534
414	13817	19477
415	13850	19443
416	13872	19395
417	13894	19346
418	13916	19297
419	13936	19245
420	13963	19204
421	13986	19156
422	14033	19142
423	14056	19095
424	14089	19062
425	14115	19019
426	14141	18976
427	14157	18921
428	14174	18865
429	14187	18806
430	14209	18759
431	14230	18710
432	14249	18658
433	14270	18611
434	14291	18562
435	14311	18513
436	14343	18479
437	14368	18436
438	14387	18385
439	14409	18338
440	14426	18286
441	14444	18234
442	14460	18182
443	14484	18138
444	14503	18089
445	14524	18041
446	14544	17993
447	14570	17952
448	14587	17900
449	14607	17853
450	14626	17805
451	14648	17759
452	14672	17716
453	14687	17664
454	14711	17621
455	14732	17575
456	14761	17539
457	14782	17494
458	14806	17452
459	14823	17401
460	14844	17355
461	14872	17319
462	14891	17271
463	14916	17231
464	14941	17190
465	14970	17154
466	15000	17120
467	15033	17088
468	15064	17056
469	15089	17016
470	15110	16971
471	15128	16923
472	15164	16895
473	15189	16856
474	15210	16811
475	15227	16763
476	15250	16721
477	15270	16676
478	15291	16632
479	15310	16585
480	15327	16538
481	15347	16493
482	15369	16451
483	15398	16416
484	15422	16376
485	15444	16333
486	15475	16301
487	15513	16276
488	15536	16235
489	15552	16187
490	15575	16146
491	15598	16105
492	15627	16071
493	15652	16032
494	15673	15989
495	15697	15950
496	15716	15905
497	15737	15863
498	15763	15827
499	15784	15784
500	15810	15747
501	15827	15700
502	15845	15656
503	15863	15611
504	15890	15575
505	15915	15537
506	15937	15497
507	15962	15459
508	15996	15430
509	16056	15426
510	16087	15394
511	16111	15355
512	16138	15320
513	16157	15277
514	16172	15230
515	16190	15186
516	16212	15146
517	16233	15104
518	16248	15058
519	16264	15013
520	16279	14967
521	16297	14923
522	16311	14876
523	16329	14833
524	16346	14789
525	16366	14748
526	16385	14706
527	16405	14665
528	16424	14623
529	16443	14582
530	16457	14536
531	16475	14493
532	16496	14454
533	16513	14410
534	16535	14371
535	16559	14335
536	16582	14297
537	16603	14258
538	16624	14218
539	16652	14185
540	16678	14150
541	16694	14107
542	16719	14071
543	16743	14035
544	16764	13996
545	16795	13965
546	16820	13929
547	16835	13886
548	16860	13850
549	16884	13814
550	16905	13775
551	16924	13735
552	16945	13696
553	16960	13654
554	16979	13614
555	17001	13576
556	17021	13537
557	17040	13497
558	17056	13456
559	17074	13415
560	17089	13373
561	17099	13326
562	17118	13287
563	17143	13252
564	17168	13217
565	17188	13179
566	17205	13139
567	17224	13100
568	17244	13061
569	17256	13017
570	17275	12979
571	17294	12940
572	17308	12898
573	17325	12857
574	17345	12820
575	17362	12781
576	17378	12740
577	17396	12701
578	17415	12663
579	17434	12625
580	17450	12585
581	17467	12545
582	17483	12505
583	17501	12466
584	17521	12429
585	17547	12397
586	17570	12362
587	17590	12325
588	17623	12297
589	17651	12266
590	17676	12232
591	17690	12192
592	17708	12153
593	17726	12116
594	17743	12077
595	17755	12035
596	17770	11996
597	17786	11956
598	17804	11919
599	17823	11882
600	17849	11850
601	17870	11814
602	17893	11780
603	17913	11744
604	17946	11716
605	17963	11679
606	17988	11646
607	18011	11612
608	18037	11580
609	18061	11547
610	18080	11511
611	18104	11477
612	18129	11445
613	18145	11407
614	18157	11366
615	18171	11327
616	18184	11288
617	18202	11251
618	18221	11215
619	18236	11177
620	18256	11141
621	18271	11103
622	18286	11066
623	18301	11028
624	18316	10989
625	18333	10953
626	18344	10913
627	18360	10875
628	18379	10840
629	18398	10805
630	18414	10768
631	18432	10733
632	18449	10696
633	18470	10662
634	18491	10629
635	18506	10591
636	18525	10556
637	18543	10521
638	18564	10488
639	18580	10451
640	18598	10416
641	18616	10380
642	18635	10346
643	18651	10310
644	18665	10273
645	18686	10239
646	18704	10204
647	18722	10170
648	18740	10135
649	18760	10101
650	18774	10064
651	18790	10029
652	18812	9996
653	18845	9970
654	18866	9937
655	18892	9906
656	18915	9875
657	18944	9846
658	18960	9811
659	18981	9778
660	19002	9745
661	19021	9711
662	19038	9676
663	19087	9658
664	19111	9627
665	19132	9595
666	19144	9558
667	19159	9522
668	19179	9489
669	19196	9455
670	19215	9421
671	19233	9387
672	19245	9350
673	19260	9315
674	19280	9283
675	19291	9246
676	19309	9212
677	19329	9180
678	19344	9144
679	19361	9111
680	19378	9077
681	19394	9043
682	19411	9009
683	19423	8973
684	19443	8941
685	19459	8907
686	19475	8873
687	19491	8839
688	19508	8805
689	19524	8771
690	19542	8738
691	19562	8706
692	19581	8674
693	19599	8641
694	19617	8609
695	19627	8573
696	19641	8538
697	19661	8506
698	19676	8473
699	19690	8438
700	19703	8404
701	19722	8372
702	19744	8341
703	19762	8309
704	19783	8278
705	19805	8247
706	19822	8214
707	19844	8184
708	19873	8156
709	19893	8125
710	19913	8094
711	19931	8061
712	19955	8032
713	19996	8009
714	20019	7979
715	20045	7951
716	20070	7922
717	20085	7888
718	20106	7857
719	20125	7826
720	20140	7793
721	20156	7761
722	20171	7728
723	20188	7696
724	20209	7665
725	20225	7633
726	20240	7600
727	20260	7569
728	20285	7541
729	20303	7509
730	20320	7477
731	20335	7445
732	20350	7412
733	20365	7380
734	20384	7349
735	20405	7319
736	20424	7288
737	20437	7255
738	20458	7225
739	20473	7193
740	20490	7162
741	20519	7134
742	20536	7103
743	20549	7070
744	20568	7040
745	20587	7009
746	20603	6978
747	20623	6947
748	20641	6917
749	20663	6887
750	20679	6856
751	20697	6825
752	20714	6794
753	20732	6764
754	20754	6734
755	20775	6705
756	20792	6674
757	20809	6643
758	20830	6614
759	20856	6586
760	20875	6556
761	20898	6527
762	20916	6497
763	20941	6468
764	20967	6440
765	20991	6412
766	21009	6382
767	21029	6352
768	21063	6327
769	21090	6299
770	21109	6269
771	21137	6242
772	21157	6213
773	21171	6181
774	21194	6153
775	21209	6122
776	21230	6093
777	21253	6064
778	21272	6034
779	21288	6004
780	21310	5975
781	21476	5987
782	21515	5962
783	21543	5935
784	21564	5906
785	21589	5878
786	21610	5848
787	21630	5819
788	21662	5793
789	21684	5764
790	21711	5736
791	21734	5708
792	21757	5679
793	21776	5649
794	21797	5620
795	21819	5591
796	21850	5565
797	21875	5537
798	21896	5508
799	21918	5479
800	21962	5456
801	21992	5429
802	22018	5401
803	22038	5372
804	22059	5343
805	22089	5316
806	22102	5286
807	22121	5256
808	22135	5226
809	22153	5196
810	22168	5166
811	22185	5136
812	22201	5106
813	22219	5077
814	22237	5047
815	22257	5018
816	22279	4990
817	22300	4961
818	22317	4932
819	22334	4902
820	22351	4873
821	22368	4843
822	22386	4814
823	22405	4785
824	22424	4756
825	22444	4728
826	22466	4699
827	22485	4670
828	22500	4641
829	22519	4612
830	22539	4583
831	22563	4555
832	22590	4528
833	22612	4500
834	22635	4472
835	22654	4444
836	22677	4416
837	22697	4387
838	22717	4359
839	22733	4330
840	22755	4302
841	22774	4273
842	22791	4244
843	22819	4217
844	22846	4190
845	22872	4163
846	22899	4136
847	22933	4110
848	22959	4083
849	22988	4056
850	23024	4031
851	23048	4003
852	23065	3975
853	23084	3946
854	23101	3917
855	23121	3889
856	23137	3860
857	23155	3832
858	23178	3804
859	23200	3776
860	23216	3748
861	23238	3720
862	23255	3691
863	23277	3664
864	23295	3635
865	23314	3607
866	23337	3579
867	23357	3552
868	23374	3523
869	23399	3496
870	23414	3467
871	23432	3439
872	23445	3410
873	23465	3382
874	23490	3355
875	23508	3327
876	23532	3300
877	23551	3272
878	23566	3244
879	23581	3215
880	23597	3187
881	23615	3159
882	23634	3131
883	23647	3103
884	23671	3075
885	23695	3048
886	23719	3021
887	23738	2993
888	23758	2966
889	23779	2939
890	23797	2911
891	23823	2884
892	23850	2857
893	23877	2831
894	23899	2803
895	23928	2777
896	23953	2750
897	23995	2725
898	24034	2700
899	24055	2672
900	24076	2645
901	24095	2617
902	24117	2590
903	24139	2563
904	24159	2536
905	24186	2509
906	24209	2482
907	24227	2454
908	24246	2427
909	24270	2400
910	24290	2373
911	24308	2345
912	24327	2318
913	24346	2290
914	24364	2263
915	24379	2235
916	24398	2208
917	24417	2181
918	24438	2153
919	24457	2126
920	24476	2099
921	24493	2072
922	24509	2044
923	24528	2017
924	24540	1989
925	24554	1962
926	24567	1934
927	24583	1907
928	24601	1880
929	24624	1853
930	24646	1826
931	24671	1800
932	24694	1773
933	24717	1746
934	24745	1720
935	24767	1693
936	24790	1666
937	24825	1640
938	24852	1614
939	24877	1587
940	24902	1561
941	24920	1534
942	24943	1507
943	24965	1481
944	24991	1454
945	25017	1428
946	25036	1401
947	25059	1374
948	25079	1347
949	25105	1321
950	25141	1295
951	25191	1270
952	25215	1243
953	25237	1216
954	25260	1190
955	25278	1163
956	25301	1136
957	25325	1110
958	25346	1083
959	25368	1057
960	25394	1030
961	25419	1004
962	25450	977
963	25468	951
964	25505	925
965	25532	898
966	25593	873
967	25623	847
968	25667	821
969	25709	795
970	25745	768
971	25775	742
972	25809	716
973	25833	689
974	25860	663
975	25893	636
976	25915	610
977	25956	583
978	25991	557
979	26016	530
980	26032	504
981	26071	477
982	26111	451
983	26131	424
984	26149	398
985	26165	371
986	26192	344
987	26212	318
988	26233	291
989	26253	265
990	26275	238
991	26290	212
992	26308	185
993	26333	158
994	26377	132
995	26418	106
996	26446	79
997	26463	53
998	26496	26
999	26533	0
