iter	RMSE
0	0.4650444077
1	0.4079801045
2	0.363348693
3	0.3272130801
4	0.2914181206
5	0.2601449821
6	0.2350459509
7	0.2154369808
8	0.1998621586
9	0.1873995884
10	0.1778989487
11	0.170331757
12	0.1645592874
13	0.1596901252
14	0.1558064232
15	0.1529328583
16	0.1506059089
17	0.1487489277
18	0.1471632489
19	0.1459323694
20	0.1449010862
21	0.1433128353
22	0.1425854992
23	0.1411806939
24	0.1406649282
25	0.1401608151
26	0.1397054864
27	0.1386777279
28	0.1369497651
29	0.1357345967
30	0.1351327043
31	0.1345774173
32	0.1336848772
33	0.1333485134
34	0.1331116538
35	0.1324923221
36	0.1318086412
37	0.1314090548
38	0.131066173
39	0.1308481163
40	0.1306934016
41	0.1303312426
42	0.129823255
43	0.1295573065
44	0.1292591348
45	0.1290220268
46	0.1288797792
47	0.1283312011
48	0.1282494692
49	0.1279434304
50	0.1278364637
51	0.1275818523
52	0.1275291888
53	0.1266892764
54	0.1264575237
55	0.1259081297
56	0.1256264897
57	0.1251316513
58	0.1245699294
59	0.1245484303
60	0.1242090725
61	0.1238529231
62	0.1238336476
63	0.1236291025
64	0.1233943467
65	0.1231404791
66	0.1226215628
67	0.1222523517
68	0.1218432381
69	0.1216209373
70	0.121146382
71	0.120477345
72	0.1202607007
73	0.120063668
74	0.1196993039
75	0.1195826091
76	0.1193658214
77	0.1192579511
78	0.1189885215
79	0.1185107981
80	0.1182457251
81	0.1181630743
82	0.1179916254
83	0.1175054618
84	0.1172272376
85	0.1170475197
86	0.1166978681
87	0.1164852442
88	0.116343134
89	0.1161838008
90	0.1159533351
91	0.1158221283
92	0.115665542
93	0.115409219
94	0.1152724317
95	0.1151856421
96	0.1150535612
97	0.1150183108
98	0.1147763571
99	0.1145852999
100	0.1143018526
101	0.114196795
102	0.1138936537
103	0.1136961179
104	0.1136819628
105	0.1134691557
106	0.1131661761
107	0.1130960729
108	0.1129241156
109	0.1128754934
110	0.1128711245
111	0.1128192707
112	0.1127674363
113	0.1126576837
114	0.1124405751
115	0.1124045511
116	0.1122351686
117	0.1119691252
118	0.1119556585
119	0.1117888608
120	0.1117845047
121	0.1116958892
122	0.1115964537
123	0.1115343715
124	0.1111082863
125	0.1110465139
126	0.1108613721
127	0.1108010064
128	0.1106426596
129	0.11045703
130	0.1103611552
131	0.1102673674
132	0.110241261
133	0.1101288596
134	0.1100677146
135	0.1100090511
136	0.1099546225
137	0.1098869333
138	0.1098021717
139	0.1095730925
140	0.1093311251
141	0.1091991396
142	0.1090151189
143	0.1090110441
144	0.1088237272
145	0.1088155963
146	0.1087364244
147	0.1087313683
148	0.1086949982
149	0.1086259753
150	0.1086131728
151	0.1085541504
152	0.1084081181
153	0.1082469077
154	0.1081523957
155	0.1080570618
156	0.1079009529
157	0.1077140893
158	0.1077055197
159	0.1075642419
160	0.1074483541
161	0.1074294504
162	0.1073047623
163	0.1072207027
164	0.1071033582
165	0.1070362388
166	0.1068583007
167	0.1067790867
168	0.1066333386
169	0.1065953727
170	0.1065260679
171	0.1065041107
172	0.106336152
173	0.1061217285
174	0.1060224409
175	0.1059291789
176	0.1056506576
177	0.1055468176
178	0.1054717524
179	0.1053975765
