model,R2_mean,R2_std,MAE_mean,MAE_std,MedAE_mean,MedAE_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std
DecisionTree,0.9457270341696009,0.0058618709945809176,1296.6593729446963,21.257887515778414,802.2985812788414,10.720990207848075,5282342.736076407,573649.1454225174,2295.5642519377493,126.13237739518134
LinearRegression,-2.606856674845299,7.771182154085785,2110.8100508288776,122.02948963404499,1332.9762439481078,7.0175130553048355,352970555.26353127,760683040.7120173,11138.971642647008,16915.003177942246
NeuralNetwork,0.9030583092025598,0.008540740794222176,1801.3381817024292,86.58178440734874,1156.51611328125,88.76468918825282,9443001.92823102,941678.2540045967,3069.908487665488,152.74081637865686
RandomForest+PseudoHuber,0.9546080676129141,0.004340804512806239,1213.0905734886214,27.641607559170172,764.8447055068729,20.317907373500592,4415837.761471112,395485.7530236693,2099.6814389337387,94.70755294759304
SVR,0.9182799018787131,0.00875984104002638,1690.682990497194,38.76988223677707,1100.3643668763384,23.590750960896074,7955525.36300304,873337.9007206736,2817.1337412935,155.25320716787934
XGBoost+Huber,0.9576286041919779,0.004640717407213981,1156.4468515906892,32.580860090301215,740.4110391356437,23.493317249782205,4126921.4870848074,484613.26351173373,2028.6139945025432,120.65834198907909
