outer_fold,model,R2,MAE,MedAE,MSE,RMSE
1,LinearRegression,0.9063945699643926,1737.922703459069,1117.5918048817675,9323210.411729217,3053.393261885736
1,DecisionTree,0.9475092189962173,1292.959106335446,815.1833183479612,5228143.2368624825,2286.513336252925
1,DecisionTree+ElasticNet,0.9475330247703395,1293.0874945526411,814.8650690709246,5225772.153891427,2285.9947843097602
1,DecisionTree+Huber,0.9475365464169038,1292.425852899674,815.011715494511,5225421.393770973,2285.9180636608507
1,DecisionTree+PseudoHuber,0.9474720032842721,1293.413363652663,812.1656904710517,5231849.965339189,2287.3237561261826
1,RandomForest,0.9574649439407434,1146.357276299401,732.4470152747017,4236541.377613401,2058.2860291061106
1,RandomForest+ElasticNet,0.9574998220209643,1146.3927647973164,732.0928688675158,4233067.479993004,2057.441974878758
1,RandomForest+Huber,0.9574636144365972,1145.4693056862013,730.2370881718907,4236673.797782755,2058.318196436779
1,RandomForest+PseudoHuber,0.9618298989558318,1107.2850349720238,711.016307374648,3801786.748230029,1949.8171063538316
1,XGBoost,0.9624496630248854,1111.2731917348885,716.83544921875,3740057.5214189463,1933.9228323330137
1,XGBoost+ElasticNet,0.9626081280315589,1103.2982156843725,708.298828125,3724274.221245539,1929.8378743421788
1,XGBoost+Huber,0.9622286427579316,1091.2688932421709,698.30908203125,3762071.39874725,1939.6059905937727
1,XGBoost+PseudoHuber,0.9640190855321713,1101.6049487881874,710.6767578125,3583741.2024322813,1893.0771781499775
1,NeuralNetwork,0.9523419712775268,1327.7596575489615,845.2822265625,4746795.452131687,2178.71417403286
2,LinearRegression,0.9021659824996655,1731.0182728667344,1098.101216804514,9211955.43743009,3035.1203332701803
2,DecisionTree,0.9467110142812719,1264.7247865694242,782.0742615030485,5017638.795678536,2240.008659732934
2,DecisionTree+ElasticNet,0.9467433726908538,1265.0442425350916,780.6026925031929,5014591.959468486,2239.328461719827
2,DecisionTree+Huber,0.9467243927108413,1264.1193431134018,778.5024824533521,5016379.095830113,2239.7274601678914
2,DecisionTree+PseudoHuber,0.9473547212052256,1263.89098224807,779.5272321798329,4957027.981058705,2226.4384072007706
2,RandomForest,0.9595724606711374,1127.919514737682,720.8888964201979,3806617.5779928598,1951.0555035654058
2,RandomForest+ElasticNet,0.9596313359759568,1128.4071245603573,721.860801421316,3801073.936852293,1949.6343084928242
2,RandomForest+Huber,0.9589457242856663,1151.9953673403868,738.0270184110495,3865630.46330094,1966.1206634642087
2,RandomForest+PseudoHuber,0.962751098643998,1118.569772984258,725.3857319157023,3507320.1341603594,1872.7840596716856
2,XGBoost,0.9586506890307778,1184.5533259926647,777.60400390625,3893410.6944510546,1973.1727482536987
2,XGBoost+ElasticNet,0.9586394138063513,1183.4659543818602,776.04296875,3894472.358559489,1973.4417545393856
2,XGBoost+Huber,0.9639906845800172,1079.4564736296375,690.19970703125,3390601.934343653,1841.358719626258
